coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,Date,price_volatility,liquidity_ratio,price_ma_7,price_ma_30,24h_volume_ma_7,24h_volume_ma_30,price_volatility_7
Magic Internet Money,MIM,2.4205290610368807e-05,0.8811013767209012,0.5314799672935404,0.10840108401084,0.0007705441413228,0.0035031703485016,2022-03-16,2022-03-16,0.00025860597900779066,0.21995622954858088,0.00021210272847005997,0.0030894676381089765,0.005191378191645557,0.006425111053221247,0.00025860597900779066
The Graph,GRT,1.069493439318072e-05,0.8848560700876096,0.5617334423548649,0.1689895470383275,0.0067084347189941,0.003435284761741,2022-03-16,2022-03-16,0.00025006840769493407,1.9528030961818343,0.00015377355861341435,0.0030013175463311026,0.005497760759103858,0.006225424221859964,0.00025006840769493407
Tezos,XTZ,7.399810803859911e-05,0.90738423028786,0.5486508585445625,0.1105303910181958,0.0019821898212696,0.0033506161875077,2022-03-16,2022-03-16,0.0002492344553194164,0.591589639141575,0.0001317994131711285,0.0007835902037227758,0.005549038550963315,0.00627980189997373,0.0002492344553194164
cUSDC,CUSDC,5.466884585029725e-07,0.8798498122653317,0.5290269828291086,0.108207510646535,7.220164378512868e-10,0.0030713068644055,2022-03-16,2022-03-16,0.0002512595254782203,2.350844346486506e-07,0.00012806496263371325,0.0007750278810259092,0.005408158876291078,0.006048248972279285,0.0002512595254782203
Helium,HNT,0.0005269635761542,0.8785982478097623,0.5674570727718724,0.1130468447541618,0.0003869117107874,0.0027294735247411,2022-03-16,2022-03-16,0.0002860705207954175,0.14175323822717786,0.00019988509323152606,0.0007809396424469492,0.005418568390039863,0.005646356418652115,0.0002860705207954175
THORChain,RUNE,0.0001754119086129,0.9311639549436797,0.4799672935404742,0.25687185443283,0.0051408690941761,0.0027053363926333,2022-03-16,2022-03-16,0.00018647105641179205,1.9002698178957773,0.00012574834701532602,0.000786737574660105,0.00243430541558192,0.005467725561246368,0.00018647105641179205
EOS,EOS,4.997905000782619e-05,0.904881101376721,0.5543744889615698,0.1173054587688733,0.0058311667268001,0.0025172635540811,2022-03-16,2022-03-16,0.00018754304742228567,2.3164704853198037,0.00012311422232508254,0.0007541379709826492,0.0029743024193380767,0.0056096867002791515,0.00018754304742228567
ECOMI,OMI,8.265515913596712e-08,0.904881101376721,0.5502861815208503,0.0656213704994192,5.94468082898706e-05,0.002462866510746,2022-03-16,2022-03-16,0.00018987058257902994,0.024137243342459605,0.00011966813154633499,0.0005151066190125371,0.002872717086047658,0.00481852152093677,0.00018987058257902994
IOTA,MIOTA,1.7282464329054923e-05,0.9036295369211514,0.5372035977105477,0.1103368176538907,0.0004651804157206,0.0024623709215443,2022-03-16,2022-03-16,0.00018925577779060863,0.18891565509101188,0.00012060920725145989,0.000510854627877109,0.001980823614151444,0.004833549025289846,0.00018925577779060863
cDAI,CDAI,5.312285054299033e-07,0.8798498122653317,0.5282093213409648,0.1080139372822299,1.6206101685359151e-09,0.0024180722071196,2022-03-16,2022-03-16,0.00019424278980430823,6.70207516452282e-07,0.00011011393874672142,0.0004954661720107732,0.0016976538712000968,0.0047297555496141385,0.00019424278980430823
Flow,FLOW,0.0001317408940115,0.902377972465582,0.5470155355682746,0.0977545489740611,0.0009917575674138,0.0023940023613718,2022-03-16,2022-03-16,0.00018814243963511336,0.4142675811086116,0.00012885596811143527,0.0004992663517250835,0.001839333420542577,0.004675605919146623,0.00018814243963511336
Theta Fuel,TFUEL,3.942085405365417e-06,0.9111389236545684,0.5339329517579721,0.1204026325977545,0.0002779911210204,0.0023458517834419,2022-03-16,2022-03-16,7.120450973058519e-05,0.11850327586021805,5.41386122901732e-05,0.0004992465485374066,0.0018237733362901486,0.004536712596256059,7.120450973058519e-05
Aave,AAVE,0.003334524581529,0.9274092615769712,0.6353229762878168,0.1329849012775841,0.0048733318667134,0.0023148200487621,2022-03-16,2022-03-16,0.0012483944435031217,2.105274606256983,0.0005054404227067589,0.00060307842936471,0.0017855537323669055,0.004590707812786552,0.0012483944435031217
Zcash,ZEC,0.0036135338414824,0.9061326658322904,0.5813573180703189,0.1225319396051103,0.0047782144602869,0.0022372185693541,2022-03-16,2022-03-16,0.001682735864375871,2.1357834794239183,0.0010145196786316981,0.0007233678064470198,0.0016351319800078769,0.004712261701779576,0.001682735864375871
Maker,MKR,0.0481007111824385,0.9173967459324156,0.5862632869991823,0.1329849012775841,0.0016026198421992,0.0021993194121061,2022-03-16,2022-03-16,0.017807047273908895,0.7286889905020699,0.007886038039671608,0.002285916708885303,0.0018555852705663526,0.004599406005628659,0.017807047273908895
JUNO,JUNO,0.0009304352277217,0.9036295369211514,0.6067048242027799,0.1022067363530778,0.0001983487379569,0.0021672706566278,2022-03-16,2022-03-16,0.017743024783117862,0.09152005881236999,0.008016488434441986,0.0023149660208201628,0.0018174664594572524,0.004329102076076429,0.017743024783117862
Gala,GALA,5.5263485067305095e-06,0.9136420525657072,0.5666394112837285,0.1151761517615175,0.0095238345129116,0.0021250541686429,2022-03-16,2022-03-16,0.017742648763062564,4.481690233333535,0.0080172020230136,0.0022933713357120374,0.003178014015500314,0.004464969890606052,0.017742648763062564
BitTorrent,BTT,4.393158498852703e-11,0.8898623279098873,0.5461978740801308,0.1085946573751451,0.0015161172328107,0.0020748543805296,2022-03-16,2022-03-16,0.017752474295874125,0.7307101872005667,0.007998381901573611,0.0021619134960024705,0.0032529225391284425,0.004332075043918545,0.017752474295874125
Arweave,AR,0.0007889896637627,0.8773466833541927,0.588716271463614,0.10840108401084,0.0008740203508644,0.0020256491341711,2022-03-16,2022-03-16,0.01769594250764835,0.4314766738821484,0.00811053155562466,0.002185722286185162,0.0033380695719632996,0.003792105423410266,0.01769594250764835
Huobi BTC,HBTC,1.0,0.9136420525657072,0.5600981193785772,0.1211769260549748,3.279573684547459e-06,0.0020255012381978,2022-03-16,2022-03-16,0.37500995001715315,0.0016191417821425163,0.15049131375826336,0.035505905791789714,0.002642347815816321,0.003701270541636664,0.37500995001715315
PancakeSwap,CAKE,0.0001351375284805,0.9136420525657072,0.5363859362224038,0.094850948509485,0.0017970612163722,0.0018877628468177,2022-03-16,2022-03-16,0.37523924472825293,0.9519528469381626,0.1499943999992631,0.03535728685932119,0.002216468780971364,0.003616414353540674,0.37523924472825293
Quant,QNT,0.0027313793465341,0.9036295369211514,0.5306623058053965,0.1105303910181958,0.0004095465032261,0.0018550818160475,2022-03-16,2022-03-16,0.3776764409701799,0.22077004889126325,0.14351306687984816,0.035404896352461655,0.0020460297325466353,0.0036300652773482876,0.3776764409701799
Harmony,ONE,3.092029106149063e-06,0.9123904881101376,0.5421095666394112,0.105691056910569,0.0012970479866853,0.0018481250623476,2022-03-16,2022-03-16,0.3777349484237204,0.701818298507197,0.14338058928004596,0.03540496072430178,0.002202986768079264,0.0035101869785594745,0.3777349484237204
eCash,XEC,1.9237890816156153e-09,0.904881101376721,0.5241210139002452,0.1358885017421602,0.0006463491151644,0.0018449273475169,2022-03-16,2022-03-16,0.3777352979092782,0.3503385193104355,0.1433798000765149,0.03540397414698829,0.0009347745684010926,0.0028567789689164375,0.3777352979092782
Bitcoin SV,BSV,0.0018708177421386,0.8973717146433041,0.5404742436631234,0.1043360433604335,0.0023339850897354,0.0017980040604214,2022-03-16,2022-03-16,0.3776175880326266,1.2980977858238993,0.14364705974768732,0.03545236810094658,0.0010516128336760498,0.002782453247014751,0.3776175880326266
NEO,NEO,0.0004883875132563,0.9111389236545684,0.5511038430089941,0.1047231900890437,0.0025593334796283,0.0017283337375955,2022-03-16,2022-03-16,0.3776365583221707,1.4808097672090272,0.14360411658332928,0.03546105378051731,0.0012923718520708924,0.002813656187060581,0.3776365583221707
TrueUSD,TUSD,2.4261674742554175e-05,0.8811013767209012,0.5290269828291086,0.108207510646535,0.001982610793273,0.0017253604278976,2022-03-16,2022-03-16,0.0011011854879126033,1.1490994931933536,0.0007504396797210566,0.03546097290826804,0.0015751334548692428,0.0028468712653456105,0.0011011854879126033
Huobi Token,HT,0.0002178698394754,0.8936170212765958,0.5355682747342599,0.1031746031746031,0.0005542928651143,0.0017092455682708,2022-03-16,2022-03-16,0.0010939007393355811,0.32429094765772243,0.0007622585812917564,0.0354674278141849,0.0013975951189752571,0.0028548795236978904,0.0010939007393355811
KuCoin Token,KCS,0.0004466574326372,0.8986232790988735,0.5355682747342599,0.1118854045683313,0.0001480752322245,0.0017070427379733,2022-03-16,2022-03-16,0.0006653536297556041,0.08674371703212509,0.0004358697364493423,0.03545917075753527,0.0013602420802607432,0.001992125034259317,0.0006653536297556041
Celsius Network,CEL,7.715212575981173e-05,0.8923654568210263,0.5543744889615698,0.1269841269841269,6.779385684628351e-05,0.0016498533770656,2022-03-16,2022-03-16,0.0006578716869793252,0.041090837397236145,0.00044644975025700834,0.03545946189763261,0.0011846343474265979,0.0019260119061372935,0.0006578716869793252
Stacks,STX,3.0569710184979385e-05,0.9036295369211514,0.5494685200327064,0.143437862950058,0.0007658610111801,0.0016130198790604,2022-03-16,2022-03-16,0.0006545071938645809,0.47479948705047675,0.00045081657688499376,0.03545967404495177,0.0012017074754288404,0.0019258558017992036,0.0006545071938645809
Humans.ai,HEART,1.0740758297189892e-06,0.9123904881101376,0.5985282093213409,0.0021293070073557,3.1981340967619e-05,0.0016022407008458,2022-03-16,2022-03-16,0.00020685051447921253,0.01996038482279005,0.0001837103388408679,0.035459353349666316,0.0008728497970334432,0.0017033073558649877,0.00020685051447921253
Enjin Coin,ENJ,3.396634465397757e-05,0.9036295369211514,0.5690923957481602,0.1169183120402632,0.0023098626120286,0.0015913159642518,2022-03-16,2022-03-16,0.00016166740314871935,1.4515424113869453,0.00011879302904053612,0.035458018957553496,0.0008372111016620574,0.0017142297822236208,0.00016166740314871935
Basic Attention Token,BAT,1.9957774945211797e-05,0.90738423028786,0.5731807031888797,0.1566008517228029,0.0056065272524491,0.0014920053677937,2022-03-16,2022-03-16,0.00016209445791978602,3.7577125213294247,0.00011817818621234434,0.03545866599376972,0.0013549134529729288,0.0019011139999047097,0.00016209445791978602
NEXO,NEXO,5.31330677290388e-05,0.8998748435544431,0.5535568274734259,0.1269841269841269,7.911287557447918e-05,0.0014906897522558,2022-03-16,2022-03-16,0.00015708980189541383,0.053071321819151765,9.46443616771499e-05,0.03544287164348888,0.0012870305973243829,0.0018908540387309455,0.00015708980189541383
